UGY;VOF;u/u_av;Points:0;Points:1;Points:2
-0.00011745;1;-0.0017529;0.0782;0.0010935;0
-0.00011809;1;-0.0017626;0.0782;0.0010962;0
-0.00011873;1;-0.0017722;0.0782;0.0010989;0
-0.00011938;1;-0.0017818;0.0782;0.0011016;0
-0.00012002;1;-0.0017914;0.0782;0.0011043;0
-0.00012067;1;-0.001801;0.0782;0.001107;0
-0.00012131;1;-0.0018106;0.0782;0.0011097;0
-0.00012195;1;-0.0018202;0.0782;0.0011124;0
-0.0001226;1;-0.0018298;0.0782;0.0011151;0
-0.00012324;1;-0.0018395;0.0782;0.0011178;0
-0.00012389;1;-0.0018491;0.0782;0.0011205;0
-0.00012453;1;-0.0018587;0.0782;0.0011232;0
-0.00012518;1;-0.0018683;0.0782;0.0011259;0
-0.00012582;1;-0.0018779;0.0782;0.0011286;0
-0.00012646;1;-0.0018875;0.0782;0.0011313;0
-0.00012711;1;-0.0018971;0.0782;0.001134;0
-0.00012775;1;-0.0019068;0.0782;0.0011367;0
-0.0001284;1;-0.0019164;0.0782;0.0011394;0
-0.00012904;1;-0.001926;0.0782;0.0011421;0
-0.00012968;1;-0.0019356;0.0782;0.0011448;0
-0.00013033;1;-0.0019452;0.0782;0.0011475;0
-0.00013097;1;-0.0019548;0.0782;0.0011502;0
-0.00013162;1;-0.0019644;0.0782;0.0011529;0
-0.00013226;1;-0.0019741;0.0782;0.0011556;0
-0.0001329;1;-0.0019837;0.0782;0.0011583;0
-0.00013355;1;-0.0019933;0.0782;0.001161;0
-0.00013419;1;-0.0020029;0.0782;0.0011637;0
-0.00013484;1;-0.0020125;0.0782;0.0011664;0
-0.00013548;1;-0.0020221;0.0782;0.0011691;0
-0.00013613;1;-0.0020317;0.0782;0.0011718;0
-0.00013677;1;-0.0020414;0.0782;0.0011745;0
-0.00013741;1;-0.002051;0.0782;0.0011772;0
-0.00013806;1;-0.0020606;0.0782;0.0011799;0
-0.0001387;1;-0.0020702;0.0782;0.0011826;0
-0.00013935;1;-0.0020798;0.0782;0.0011853;0
-0.00013999;1;-0.0020894;0.0782;0.001188;0
-0.00014063;1;-0.002099;0.0782;0.0011907;0
-0.00014128;1;-0.0021087;0.0782;0.0011934;0
-0.00014192;1;-0.0021183;0.0782;0.0011961;0
-0.00014257;1;-0.0021279;0.0782;0.0011988;0
-0.00014325;1;-0.0021381;0.0782;0.0012015;0
