UGY;VOF;u/u_av_line;Points:0;Points:1;Points:2
1.1096e-05;1;0.00018903;0.0782;0.00084645;4.2471e-05
1.1069e-05;1;0.00018856;0.0782;0.0008493;4.2614e-05
1.1041e-05;1;0.00018809;0.0782;0.00085215;4.2757e-05
1.1014e-05;1;0.00018763;0.0782;0.000855;4.29e-05
1.0986e-05;1;0.00018716;0.0782;0.00085785;4.3043e-05
1.0959e-05;1;0.00018669;0.0782;0.0008607;4.3186e-05
1.0931e-05;1;0.00018622;0.0782;0.00086355;4.3329e-05
1.0904e-05;1;0.00018575;0.0782;0.0008664;4.3472e-05
1.0876e-05;1;0.00018528;0.0782;0.00086925;4.3615e-05
1.0849e-05;1;0.00018481;0.0782;0.0008721;4.3758e-05
1.0821e-05;1;0.00018434;0.0782;0.00087495;4.3901e-05
1.0794e-05;1;0.00018388;0.0782;0.0008778;4.4044e-05
1.0766e-05;1;0.00018341;0.0782;0.00088065;4.4187e-05
1.0738e-05;1;0.00018294;0.0782;0.0008835;4.433e-05
1.0711e-05;1;0.00018247;0.0782;0.00088635;4.4473e-05
1.0683e-05;1;0.000182;0.0782;0.0008892;4.4616e-05
1.0656e-05;1;0.00018153;0.0782;0.00089205;4.4759e-05
1.0628e-05;1;0.00018106;0.0782;0.0008949;4.4902e-05
1.0601e-05;1;0.00018059;0.0782;0.00089775;4.5045e-05
1.0573e-05;1;0.00018013;0.0782;0.0009006;4.5188e-05
1.0546e-05;1;0.00017966;0.0782;0.00090345;4.5331e-05
1.0518e-05;1;0.00017919;0.0782;0.0009063;4.5474e-05
1.0491e-05;1;0.00017872;0.0782;0.00090915;4.5617e-05
1.0463e-05;1;0.00017825;0.0782;0.000912;4.576e-05
1.0436e-05;1;0.00017778;0.0782;0.00091485;4.5903e-05
1.0408e-05;1;0.00017731;0.0782;0.0009177;4.6046e-05
1.0381e-05;1;0.00017685;0.0782;0.00092055;4.6189e-05
1.0353e-05;1;0.00017638;0.0782;0.0009234;4.6332e-05
1.0326e-05;1;0.00017591;0.0782;0.00092625;4.6475e-05
1.0298e-05;1;0.00017544;0.0782;0.0009291;4.6618e-05
1.0271e-05;1;0.00017497;0.0782;0.00093195;4.6761e-05
1.0216e-05;1;0.00017403;0.0782;0.0009348;4.6904e-05
1.0131e-05;1;0.00017259;0.0782;0.00093765;4.7047e-05
1.0047e-05;1;0.00017115;0.0782;0.0009405;4.719e-05
9.962e-06;1;0.00016971;0.0782;0.00094335;4.7333e-05
9.8774e-06;1;0.00016827;0.0782;0.0009462;4.7476e-05
9.7928e-06;1;0.00016683;0.0782;0.00094905;4.7619e-05
9.7082e-06;1;0.00016539;0.0782;0.0009519;4.7762e-05
9.6236e-06;1;0.00016395;0.0782;0.00095475;4.7905e-05
